Study,in WoS search?,Research question,Language,Condition,Type of materials,Fiction/nonfiction,Nwords/trial,Ntrials,Time (mins),Reading rate (wpm),Wordlength,N parts,Participants,Comprehension questions?,Test used,Other info,Weighted sum
Boije & Gustafsson (2012),N,Different types of paper,Swedish,longer texts,text passages,unclear,3500,4,,197,,16,?,Yes,,,3152
Booker (1934),N,Reading speed in university freshmen,English,all,?,unclear,?,?,?,242,,664,College undergraduates,?,,,160688
Bowers & Reid (1997),Y,Impact visual impairment,English,normal vision,reading passage,nonfiction,150,9,,225,,10,Graduate students,Yes,,,2250
Bowman et al. (2010),N,Effect of multitasking,English,no multitasking,chapter psychology textbook,nonfiction,3828,1,,102,,30,College undergraduates,Yes,,,3060
Bridgeman & Montegut (1993),N,Effect display screen,english,all,?,unclear,5600,1,,271,,20,?,?,,,5420
"Britton et al. (1978, Exp 1)",N,Effects of text difficulty,English,all,text passages,unclear,150,20,,222,4.6,24,College undergraduates,Yes,,Difference between easy texts (262 wpm) and difficult texts (182 wpm),5328
Burt & Fury (2000),N,Spelling performance,English,all,text passages,nonfiction,,1,1,292,,100,College undergraduates,Yes,"Nelson-Denny, Form F",,29200
Callens et al. (2012),N,Dyslexia,Dutch,healthy controls,expository text,nonfiction,1023,1,,244,4.6,100,College undergraduates,Yes,,,24400
"Calvo et al. (1994, Study 1+2)",Y,Anxiety and reading,Spanish,all,scientific magazines,nonfiction,650,3,,314,,36,College undergraduates,Yes,,,11304
"Calvo et al. (1994, Study 3)",Y,Anxiety and reading,Spanish,all,scientific magazines,nonfiction,410,3,,231,,36,College undergraduates,Yes,,,8316
"Campbell et al. (1989, Exp 1+2)",N,Effect justification techniques,English,all,children's encyclopedia,nonfiction,592,1,,236,,152,College undergraduates,Yes,,2650 letters; average word length of 4.5 letters assumed,35872
Carver (1970),N,Effect of text chunking,English,study III (chunked & newspaper),passages from Nelson-Denny,nonfiction,,1,6,292,4.4,60,College undergraduates,Yes,"Nelson-Denny, Form A and B",,17520
Carver (1983),N,Children vs adults,English,adults,expository texts,nonfiction,100,24,,325,,102,College undergraduates,No,,different difficulty levels,33150
Cavalli (2016),N,E-books,French,healthy controls,novel chapters,fiction,2800,1,,187,,20,College undergraduates,Yes,,,3740
Choi et al. (2015),N,Individual differences in perceptual span,English,no window,newspaper articles,nonfiction,52,80,,244,,70,College undergraduates,Yes,,,17080
Ciuffo et al. (2017),N,Silent vs oral reading fluency,Italian,university students without instruction,expository text,nonfiction,556,1,,330,,158,University students,No,,,52140
Cline (1969),N,Reading skills future teachers,English,all,text passages,nonfiction,,1,1,331,,192,College undergraduates,Yes,Nelson-Denny,,63552
Cohen & Waiss (1991),Y,Comparison normal reading with low vision,English,normal reading,expository text,unclear,?,6,,233,,60,Graduate students,Yes,,,13980
Conlon & Sanders (2011),Y,Impaired reading skills and visual discomfort,English,control group,National Geographic,nonfiction,200,10,,160,,19,Graduate students,Yes,,Easy and difficult texts (some 40 wpm difference),3040
Cronan (1987),N,Type of reading rate test,English,all,text passages,nonfiction,,1,1,231,,173,College undergraduates,Yes,"Nelson-Denny, Forms C and D",Difference between time limit (231) and full passage (223),39963
"Cupples & Holmes (1992, Exp 1)",Y,Syntactic knowledge,English,all,expository text,nonfiction,125,22,,160,,24,College undergraduates,Yes,,,3840
"Cupples & Holmes (1992, Exp 2)",Y,Syntactic knowledge,English,all,expository text,nonfiction,125,22,,163,,72,College undergraduates,Yes,,,11736
Cushman (1986),N,Reading computer screen v book,English,paper,articles of general interest,unclear,35000,5,,218,,16,Employees,Yes,,,3488
Deacon et al. (2012),Y,Comparison with dyslexia,English,comparison group,text passages,nonfiction,,1,1,234,,33,College undergraduates,Yes,Nelson-Denny,,7722
Deal (1934),N,Reading training,English,pre-training,expository text,unclear,?,,?,180,,275,College undergraduates,Yes,,,49500
Dee-Lucas (1979),Y,Reading speed and retention,English,emphasis on retention,encyclopedia texts,nonfiction,415,3,,120,,20,College undergraduates,Yes,,,2400
Dee-Lucas (1979),Y,Reading speed and retention,English,emphasis on speed,encyclopedia texts,nonfiction,415,3,,251,,20,College undergraduates,Yes,,,5020
Dirix et al. (2019),N,Reading and studying in L1 and L2,Dutch,reading in L1,expository texts,nonfiction,340,4,,189,,80,University students,Yes,,,15120
Dixon et al. (1988),N,Predictors of reading skills,English,all,text passages,nonfiction,,1,1,284,,95,College undergraduates,Yes,Nelson-Denny,,26980
Dumler & Dumler (1958),Y,Increasing reading speed,English,pre-training,reading test,unclear,?,,?,254,,50,University students,?,,,12700
Dwyer & West (1994),N,Improving reading performance,English,first week,novels,fiction,,1,15,242,,76,College undergraduates,No,,,18392
Dyson & Haselgrove (2000),N,Reading from screen,English,normal speed,text passages,unclear,1000,6,,244,4.8,24,University students,Yes,,Interleaved with fast reading,5856
Dyson & Haselgrove (2001),N,Influence line length,English,normal speed,National Geographic,nonfiction,1000,6,,151,,18,University students,Yes,,,2718
Dyson & Kipping (1997),Y,Effect text lay-out,English,all,New Scientist,nonfiction,2000,3,,196,,18,Graduate students,Yes,,,3528
Everatt & Underwood (1994),N,Text reading,English,all,text passages,unclear,20,18,,125,,36,College undergraduates,Yes,,passages were three line of 50 character spaces,4500
"Fisher (1975, Exp 1)",N,Effect spacing on reading,English,normal spacing,tests Nelson-Denny,nonfiction,200,9,,220,,81,College undergraduates,Yes,,,17820
Franken et al. (2015),Y,Influence type style and size,Slovene,all,expository texts,unclear,125,50,,238,,48,General population,No,,,11424
Freeburne & Fleischer (1952),N,Reading under noise,English,control group,expository text,nonfiction,"11,500",1,,189,,43,College undergraduates,Yes,Robinson-Hall Reading test,,8127
Gilbert (1959),N,Influence speed of processing visual information,English,reading,expository text,nonfiction,2300,2,,262,,64,College undergraduates,?,,,16768
Glimne et al. (2015),N,Influence glare,Swedish,long articles,newspaper text,nonfiction,800,4,,215,,16,University students,Yes,,,3440
Glock (1949),N,Bad readers,English,"all, Traxler rate",expository text,nonfiction,1500,1,,156,,135,College undergraduates,Yes,Traxler High School Reading test,,21060
"Graf & Levy (1984, Exp 2 & 3)",N,Effect of text rotation,English,normal text reading,text passages,unclear,350,6,,180,,64,College undergraduates,Yes,,,11520
Greene (1931),N,Reading rate in reading vs studying,English,group II reading as fast as possible,expository text,nonfiction,2500,4,,212,,65,College undergraduates,Yes,,"When taking notes, studying rate of 104 wpm",13780
Grisham et al. (1993),Y,Visual symptoms because of reading,English,all,expository text,nonfiction,,,1,285,,78,College undergraduates,Yes,Nelson-Denny,,22230
"Gunraj & Klin (2012, Exp 1 & 3)",N,Auditory imaging during reading,English,all,fiction passages,fiction,510,1,,276,4.4,224,College undergraduates,Yes,,,61824
"Gunraj et al. (2014, Exp 2 & 4)",N,Auditory imaging during reading,English,all,fiction paragraphs,fiction,327,1,,217,4.6,140,University students,Yes,,,30380
Harris (2012),N,Effect display type,English,all,text passages,nonfiction,821,3,,233,,58,University students,Yes,,,13514
"Hartley (1993, Exp 2)",N,Comparison young old,English,young Exp 2,expository text,nonfiction,195.5,2,,212,,24,Students and staff,No,,,5088
Hartley et al. (1994),N,Comparison young old,English,young,expository texts,nonfiction,195.5,2,,180,,24,University students,No,,,4320
Haught & Walls (2002),N,Norming Nelson-Denny,English,mecial students,expository text,nonfiction,,1,1,246,,542,University students,Yes,"Nelson-Denny, Forms G and H",,133332
Hausfield (1981),N,Easy vs difficult text,English,all,expository texts,unclear,255,2,,255,,30,College undergraduates,Yes,,No difference between easy and difficult text,7650
"Hebert (2017, Exp 1)",N,Reading rate and comprehension,English,all,expository text,nonfiction,,1,1,242,,230,University students,Yes,"Nelson-Denny, Form G",,55660
Hebert et al. (2018),Y,Dyslexia,English,healthy controls,expository text,nonfiction,,1,1,264,,124,University students,Yes,"Nelson-Denny, Form G",,32736
Heij & van der Meij (2014),N,Reading on a pdf,Dutch,long text,psychological phenomena,nonfiction,6475,1.33,,144,,16,College undergraduates,Yes,,(also short text of 2147 words read at 135 wpm) ,2304
Henry & Lauer (1939),N,Reading training,English,pre-training,expository text,nonfiction,,1,1,211,,307,College undergraduates,Yes,Iowa Silent Reading Test,,64777
Henry et al. (2018),N,Rapid naming and reading,English,university students,expostory texts,nonfiction,145,5,,248,,85,University students,Yes,Gray Oral Reading Test,,21080
Henry et al. (2018),N,Rapid naming and reading,English,community sample,expostory texts,nonfiction,145,5,,218,,39,General population,Yes,Gray Oral Reading Test,,8502
Hess & Tate (1992),Y,Memory in younger and older adults,English,younger adults,narratives,fiction,?,,?,194,,33,College undergraduates,Yes,,sentence by sentence presentation,6402
Huey (1901),N,Reading speed in normal readers,English,all,novel page,fiction,405,2,,338,,20,University students,No,,,6760
Hunt et al. (1981),N,Long term memory,English,all,text passages,nonfiction,,1,1,301,4.4,74,College undergraduates,Yes,"Nelson-Denny, Form B",,22274
"Hyona & Niemi (1990, Exp 1)",N,Effect repeated reading,Finnish,first-pass reading,expository text,nonfiction,371,1,,224,,11,University students,Yes,,,2464
"Hyona & Niemi (1990, Exp 2)",N,Effect repeated reading,Finnish,first-pass reading,expository text,nonfiction,351,1,,163,9.5,18,University students,Yes,,,2934
Hyona et al. (2002),N,Reading for study,Finnish,all,expository texts,nonfiction,1200,2,,179,,47,University students,Yes,,,8413
"Jackson & Balota (2012, Exp 4)",N,Comparison young old,English,young group,chapters from a novel,fiction,,1,30,177,,29,College undergraduates,Yes,,,5133
Jackson et al. (1999),Y,English as L1 vs L2,English,"American graduate students, simple",text passages,unclear,50,25,,315,,12,Graduate students,Yes,,also Nelson-Denny (229 wpm),3780
Jensen et al. (1972),N,Reading training,English,pre-training,expository text,unclear,?,,?,328,,276,College undergraduates,Yes,Robinson-Hall Reading test,,90528
Johansson et al. (2014),Y,Monocular v. Binocular reading,Swedish,all,text passages,fiction,146,9,,267,4.6,18,Graduate students,Yes,IReST,,4806
Johnson et al. (2018),N,Spaces in text,English,all,paragraphs,unclear,116,20,,298,,60,College undergraduates,Yes,,,17880
Jones et al. (2012),Y,Reading speed in prison population,Norwegian,all,text passage,unclear,,1,3,227,,92,Incarcerated adults,No,,,20884
"Juola et al. (1982, Exp 4)",N,Effect different types of presentation,English,normal reading,expository text,nonfiction,199,12,,215,,48,College undergraduates,Yes,"Nelson-Denny, Forms C and D",,10320
Just & Carpenter (1987),N,Speed reading,English,normal controls,Scientific American,nonfiction,1750,2,,240,,25,University students,Yes,,,6000
Kamienkowski et al. (2016),N,Effect word repetition,Spanish,all,short stories,unclear,3312,10,,203,4.6,36,?,Yes,,,7308
Karakus et al. (2018),Y,Dry eyes,English,"healthy controls, silent reading",reading passage,fiction,7200,1,30,272,4.2,31,general publci,Yes,Ramulu texts,Length estimated on excerpt given in Ramulu et al. (2013),8432
King et al. (1969),N,Reading training,English,pre-training,expository text,nonfiction,,1,10,234,,115,College undergraduates,Yes,Robinson-Hall Reading test,Each text has an allowance of 10 min according to Freeburne & Fleischer,26910
Kingston & George (1957),N,Increase in reading rate during first years of university,English,beginning,expository text,unclear,?,,?,274,,160,College undergraduates,Yes,,,43840
"Kintsch & Monk (1972, Exp 1)",N,Test understanding,English,simple texts,texts on inferences,nonfiction,46,20,,107,,60,College undergraduates,Yes,,,6420
Kirby et al. (2008),N,Dyslexia,English,healthy controls,text passages,nonfiction,,1,1,235,,66,University students,Yes,"Nelson-Denny, Form G",,15510
Korinth & Fiebach (2018),N,Reading training,German,first session,newspaper articles,nonfiction,182,90,,246,,25,University students,Yes,,,6150
"Kruk & Muter (1984, Exp 1)",N,Reading computer screen v book,English,book,short stories,fiction,,,5,225,,24,College undergraduates,Yes,,,5400
Kuperman et al. (2019),N,Comparing Hebrew and English,English,expository texts,Wikipedia articles,nonfiction,90,10,,297,,54,University students,Yes,,,16038
Lajoie (2013),N,reading comprehension,English,all,text passages,nonfiction,,1,1,290,,88,Nursing students,Yes,Nelson-Denny,,25520
Laubrock & Kliegel (2015),N,Eye voice span,German,all,sentences,unclear,8.5,144,,244,,31,University students,Yes,,,7564
Lee (2003),N,Display type,English,all,GRE test,nonfiction,452,4,,125,,16,University students,Yes,,,2000
Letson (1959),N,Influence material and purpose on reading rate,English,all,expository text,unclear,,2,5,269,,601,College undergraduates,Yes,,"Difference between easy and difficult text (269 vs 239 wpm), reading goal (292 for fun and 271 for comprehension)",161669
Lewandowski et al. (2003),Y,Assessment of reading rate,English,all,text passages,nonfiction,,1,1,231,,90,College undergraduates,Yes,"Nelson-Denny, Form G",,20790
Liversedge et al. (2016),N,Comparison languages,English,all,text passages,unclear,253,8,,285,,21,University students,Yes,,,5985
Liversedge et al. (2016),N,Comparison languages,Finnish,all,text passages,unclear,186,8,,213,,20,University students,Yes,,,4260
Lloyd & McKelvie (1992),Y,Effect spacing on reading,English,normal spacing,expository text,nonfiction,320,3,,244,,45,College undergraduates,No,,,10980
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,<50 yr,sentences,unclear,10,?,,353,,69,Academics,?,,,24357
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,>50 yr,sentences,unclear,10,?,,286,,30,Academics,?,,,8580
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,<50 yr,sentences,unclear,10,?,,300,,98,White collar,?,,,29400
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,>50 yr,sentences,unclear,10,?,,279,,64,White collar,?,,,17856
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,<50 yr,sentences,unclear,10,?,,261,,107,Blue-collar,?,,,27927
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,>50 yr,sentences,unclear,10,?,,226,,78,Blue-collar,?,,,17628
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,<50 yr,sentences,unclear,10,?,,231,,97,Janitors,?,,,22407
Mackensen & Stichler (1963),N,Reading speed in normal readers,German,>50 yr,sentences,unclear,10,?,,211,,79,Janitors,?,,,16669
Mak & Willems (2019),N,Mental simulation during reading,Dutch,all,short stories,fiction,2532,3,,260,,109,University students,Yes,,,28340
Maki et al. (1994),N,Effect of metacomprehension on comprehension,English,all,expository text,nonfiction,,1,1,205,,75,College undergraduates,Yes,"Nelson-Denny, Form C",,15375
Martin-Chang & Gould (2008),Y,Effect print exposure,English,all,text passages,nonfiction,,1,1,204,,171,College undergraduates,Yes,Nelson-Denny,,34884
"Masson (1982, Exp. 1)",N,Comprehension in reading and skimming,English,reading,Reader's Digest,nonfiction,700,8,,232,,72,College undergraduates,Yes,,no difference between 400 w newspaper articles and 1000 w texts; skimming rate of 382 wpm; comprehension largely intact,16704
Masterson & Hayes (2004),Y,Assessment of reading rate,English,all,text passages,nonfiction,,1,1,257,,197,College undergraduates,Yes,"Nelson-Denny, Form G",lower in year 1 than in 2 and 3,50629
Mathews et al. (2017),Y,Effect of dry eyes,English,healthy controls,expository texts,fiction,,1,30,226,4.2,50,general population (older),Yes,Ramulu texts,,11300
Maxwell & Mueller (1965),N,Reading training,English,pre-training,expository text,nonfiction,,1,10,247,,132,College undergraduates,Yes,Robinson-Hall Reading test,Slow readers do not remember more on a delayed retention test,32604
"Mayr et al. (2017, Exp 1)",Y,Effect different presentation styles,German,all,expository texts,unclear,580,12,,235,,155,University students,Yes,,,36425
McConkie & Meyer (1974),N,Reading speed and retention,English,control group,expository text,nonfiction,325,7,,181,,14,College undergraduates,Yes,,Faster reading (300 wpm) when speed rewarded with not much less retention,2534
McConkie & Rayner (1974),N,Reading speed and retention,English,control group questions,Scientific American,nonfiction,500,7,,152,,10,College undergraduates,Yes,,Faster reading (300 wpm) when speed rewarded with not much less retention,1520
McConkie & Rayner (1974),N,Reading speed and retention,English,control group no questions,Scientific American,nonfiction,500,7,,190,,10,College undergraduates,Yes,,Faster reading (300 wpm) when speed rewarded with not much less retention,1900
"McConkie et al. (1973, Exp 1)",N,Reading speed and retention,English,"all, last passage",Scientific American,nonfiction,500,6,,265,,140,College undergraduates,Yes,,Faster reading (300 wpm) when speed rewarded with not much less retention,37100
"McConkie et al. (1973, Exp 2)",N,Reading speed and retention,English,"all, last passage",Scientific American,nonfiction,500,6,,209,,45,College undergraduates,Yes,,Faster reading (300 wpm) when speed rewarded with not much less retention,9405
Miller & Coleman (1972),N,How to measure reading speed,English,all,text passages,unclear,150,36,,270,,83,College undergraduates,Yes,,,22410
"Monk (1984, Exp 1-3)",N,Reading computer screen v book,English,full text,simple narratives,fiction,1500,1,,252,,120,?,No,,,30240
Moys et al. (2019),N,Effects of medium and typographic quality,English,all,expository text,nonfiction,622,3,,202,,40,University students,Yes,,,8080
"Muter & Maurutto (1991, Exp 1+2)",Y,Reading computer screen v book,English,reading,short stories,fiction,2000,6,,233,,30,Graduate students,Yes,,Number of words estimated via 200 lines of 10 words ,6990
Muter et al. (1982),N,Reading computer screen v book,English,book,short stories,fiction,,2,60,222,,14,College undergraduates,Yes,,,3108
Niple (1968),N,Effect comprehension training,English,pre-training,expository text,nonfiction,,1,10,181,,140,College undergraduates,Yes,Robinson-Hall Reading test,,25340
Noyes & Garland (2003),Y,VDT vs. Paper,English,all,text on Ying and Yang,unclear,295,1,,383,,50,College undergraduates,No,,,19150
Oliver et al. (2005),Y,Reading vs. Letter detection,English,reading,text passages,nonfiction,186,8,,223,,32,College undergraduates,Yes,,Difference between easy passages (245) and difficult (200),7136
Oquist & Goldstein (2003),Y,RSVP vs. Normal text,Swedish,"normal presentation, long stories",stories,fiction,4250,4,,242,,15,Graduate students,Yes,,,3630
Otten (2015),N,Teaching speed reading,Dutch,pre-test,expository texts,nonfiction,650,1,,263,,22,University students,Yes,,,5786
Park (2016),N,Comparison English first and second language,English,"native speakers, block",TOEFL text,nonfiction,252,12,,190,,33,University students,Yes,,,6270
"Pashler  et al. (2013, Exp 1)",N,Effect multitasking,English,control condition,expository texts,nonfiction,1500,3,,201,4.9,109,College undergraduates,Yes,,,21909
Paterson & Jordan (2010),N,Effect extra spaces,English,normal text,sentences,unclear,10,80,,235,,16,College undergraduates,Yes,,,3760
Perea & Acha (2009),N,The effects of text spacing,Spanish,normal text,sentences,unclear,10,120,,366,,24,College undergraduates,Yes,,,8784
Perrin et al. (2014),Y,Effect of head tilt,French,upright position,Wikipedia articles,nonfiction,30,54,,216,,28,General population,No,,,6048
Potter (1954),N,Reading training in the navy,English,pretest,expository text,nonfiction,?,,?,261,,322,Navy recruits,Yes,,,84042
Poulton (1961),N,Reading training,English,pretraining,expository texts,unclear,700,2,,219,,564,general population with higher education,Yes,,,123516
Preston & Botel (1952),N,Reading first year college,English,all,expository text,nonfiction,,1,1,188,,2048,College undergraduates,Yes,Iowa Silent Reading Test,,385024
Preston & Tuft (1948),N,Superior college students,English,all,expository text,nonfiction,1500,1,,309,,22,University students,Yes,Traxler High School Reading test,,6798
Ramulu et al. (2013),Y,Test of sustained silent reading,English,healthy controls,expository text,fiction,,2,30,183,4.2,49,General population,Yes,Ramulu texts,,8967
"Rayner (1986, Exp 1-4)",N,Reading in children vs adults,English,"adults, full text",sentences,unclear,8,48,,290,4.2,15,College undergraduates,Yes,,,4350
"Rayner et al. (1998, Exp 1)",Y,Effect of spaces on reading,English,spaced text,text passages,unclear,100,6,,283,,12,Graduate students,Yes,,sentences 263 wpm,3396
Rayner et al. (2010),Y,Effect perceptual span,English,full line,sentences,unclear,11.1,160,,265,4.6,32,College undergraduates,Yes,,,8480
Rello & Baeza-Yates (2015),Y,Dyslexia,Spanish,healthy controls,novel chapters,fiction,60,12,,258,,49,General population,Yes,,,12642
"Ricciardi & Di Nocera (2017, Exp 1+2)",N,Effect presentation mode,Italian,regular reading,non-fiction,nonfiction,5804,1,,236,,57,University students,Yes,,,13452
"Roberts et al. (2013, Exp 1+2)",N,Reading in schizophrenia,English,healthy controls,text,unclear,910,1,,297,,42,General population,No,,,12474
"Rose & Rostas (1947, Exp 4)",N,Effect of illumination,English,pretest,expository text,unclear,?,,?,208,,27,College undergraduates,Yes,,,5616
Ruppel (1979),N,Reading rate improvement,English,pretest,expository texts,nonfiction,,1,10,184,,204,University students,Yes,Robinson-Hall Reading test,,37536
Sackstein et al. (2015),Y,E-books,English,"university students, paper",expository texts,nonfiction,?,2,?,184,,14,College undergraduates,Yes,,,2576
"Samuels & Dahl (1975, Exp 2)",Y,Effect of ease of questions,English,college students,National Observer,nonfiction,820,4,,376,,84,College undergraduates,Yes,,Difference between easy questions (462 wpm) and difficult questions (291 wpm); Increase of 10 wpm at the end of the year,31584
"Sekey & Tietz (1982, Exp 1+2)",N,Reading computer screen v book,English,paper,expository texts,unclear,470,6,,268,,56,College undergraduates,Yes,,,15008
Sheedy et al. (2003),Y,Filters on computer displays,English,all,short stories,fiction,2500,12,,252,,20,Graduate students,Yes,,,5040
"Sheedy et al. (2008, Exp 5)",Y,Effect diferent fonts,English,all,crime novel,fiction,2500,5,,217,,30,Graduate students,Yes,,,6510
Shimoda (1993),N,Effects familiarity and interestingness,English,all,textbook excerpts,nonfiction,225,4,,213,,24,University students,Yes,,,5112
Siegenthaler et al. (2011),N,Effect of display type,German,all,novel,fiction,300,12,,196,,10,General population,No,,,1960
Siegenthaler et al. (2012),Y,Effect different devices,German,all,novel,fiction,,8,45,307,,10,General population,No,,,3070
Singer Trakhman et al. (2017),N,Print vs digital media,English,all,texts on childhood ailments,nonfiction,550,2,,286,,86,College undergraduates,Yes,,,24596
"Slattery & Rayner (2010, Exp 1)",N,Effect letter font,English,"Times New Roman, Cleartype",text passages,unclear,150,30,,254,,18,College undergraduates,Yes,,,4572
Slattery & Yates (2018),N,Word skipping,English,all,sentence pairs,unclear,20,54,,147,,92,University students,Yes,,,13524
Smith & Wood (1955),N,Readers in a program for increasing speed,English,pre-training,expository text,nonfiction,1500,1,,219,,27,College undergraduates,Yes,Traxler High School Reading test,,5913
Spragins et al. (1976),N,Effect of spatial transformations,English,"adult, normal reading",paragraphs,unclear,110,4,,256,,12,College undergraduates,Yes,,,3072
"Standing & Curtis (1989, Exp 1)",N,Predictors of memory span,English,"silent reading, prose",prose,unclear,50,4,,315,,24,College undergraduates,No,,,7560
Stoll (1974),N,Reading training,French,"pretest, long text",expository text,unclear,1300,1,,210,,54,College undergraduates,Yes,,,11340
Strukelj & Niehorster (2018) ,N,Effect reading goals,Swedish,normal reading,text passages,fiction,146,1,,144,,64,University students,Yes,IReST,,9216
Subbaram (2004),N,Effect of display,English,all,novel passages,fiction,,1,30,269,,30,Students and staff,Yes,,,8070
Taylor (1965),N,Reading rate at different ages,English,college students,text passages,unclear,100,5,,280,,1000,College undergraduates,Yes,,,280000
Thalberg (1967),Y,Reading speed and retention,English,Immediate retention,expository text,nonfiction,1500,1,,257,,80,College undergraduates,Yes,Traxler High School Reading test,Slow readers do not remember more on a delayed retention test,20560
Thalberg (1967),Y,Reading speed and retention,English,Delayed retention,expository text,nonfiction,1500,1,,267,,96,College undergraduates,Yes,Traxler High School Reading test,,25632
Thames & Rosster (1972),N,Reading training,English,pre-training,text passages,nonfiction,,1,1,236,,46,College undergraduates,Yes,Nelson-Denny,,10856
Tombauch et al. (1985),N,Reading computer screen,English,all,text passages,nonfiction,,1,1,285,,90,College undergraduates,Yes,"Nelson-Denny, Forms E and F",,25650
Tyrrell et al. (2001),N,Influence of letter type,English,all,Dracula,fiction,,1,60,248,,18,College undergraduates,No,,,4464
"Veldre & Andrews (2014, Exp 1+2)",N,Ability differences in reading,English,full line,sentences,unclear,20,64,,240,,96,College undergraduates,Yes,,,23040
"Wagner & Sternberg (1987, Exp 1)",N,Effect reading goal,English,all,expository texts,nonfiction,150,44,,231,,40,University students,Yes,,,9240
Whitford & Titone (2015),N,Effect bilingualism,English,"first language, full text",sentences,unclear,10,75,,207,,36,General population,Yes,,estimate on the basis of absence of effect,7452
Whitford & Titone (2015),N,Effect bilingualism,French,"first language, full text",sentences,unclear,11,75,,207,,59,General population,Yes,,estimate on the basis of absence of effect,12213
Wooster (1954),N,Reading training,English,control group,expository text,nonfiction,,1,10,204,,?,University students,Yes,Robinson-Hall Reading test,,
Zambarbieri & Carniglia (2012),N,Effect display type,Italian,all that could be found (sent by author),chapters from a novel,fiction,2755,1,,290,,38,University students,No,,,11020
Zwaan (1991),Y,Effect discourse type on reading rate,Dutch,all,expository text and novels,unclear,216,6,,310,,40,Graduate students,Yes,,,12400
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
